Australia,Canada,China (Mainland),Hong Kong SAR,Singapore,United Kingdom,United States
The University of Melbourne,McGill University,Peking University,The University of Hong Kong,National University of Singapore (NUS),Imperial College London,Massachusetts Institute of Technology (MIT)
The University of New South Wales,University of Toronto,Tsinghua University,The Chinese University of Hong Kong,"Nanyang Technological University, Singapore (NTU Singapore)",University of Oxford,Stanford University
The University of Sydney,University of British Columbia,Fudan University,The Hong Kong University of Science and Technology,Singapore Management University,University of Cambridge,Harvard University
Australian National University,University of Alberta,Shanghai Jiao Tong University,The Hong Kong Polytechnic University,Singapore University of Technology and Design,UCL (University College London),California Institute of Technology (Caltech)
Monash University,University of Waterloo,Zhejiang University,City University of Hong Kong,NUS Business School - National University of Singapore (NUS),King's College London (KCL),University of Chicago
The University of Queensland,Western University,Nanjing University,Hong Kong Baptist University,"Nanyang Business School, Singapore",University of Edinburgh,University of Pennsylvania
The University of Western Australia,University of Montreal,University of Science and Technology of China,The Education University of Hong Kong,SMU (Lee Kong Chian),The University of Manchester,Cornell University
Adelaide University,McMaster University,Tongji University,Lingnan University Hong Kong,SMU (School of Computing and Information Systems),University of Bristol,"University of California, Berkeley (UCB)"
University of Technology Sydney,"Queen's University, Ontario",Wuhan University,Hong Kong Metropolitan University,"Nanyang Technological University, Singapore (NTU)",London School of Economics and Political Science (LSE),Yale University
RMIT University,University of Calgary,Beijing Normal University,,Lasalle College of the Arts,The University of Warwick,Johns Hopkins University
Macquarie University,University of Ottawa,Harbin Institute of Technology,,Asia Pacific Management Institute,University of Birmingham,Princeton University
Curtin University,Dalhousie University,Tianjin University,,,University of Glasgow,Columbia University
University of Wollongong,Simon Fraser University,Beijing Institute of Technology,,,University of Leeds,Northwestern University
Deakin University,York University,Sun Yat-sen University,,,University of Southampton,University of Michigan-Ann Arbor
Queensland University of Technology,University of Victoria,Xi'an Jiaotong University,,,The University of Sheffield,"University of California, Los Angeles (UCLA)"
The University of Newcastle,University of Saskatchewan,Huazhong University of Science and Technology,,,Durham University,Carnegie Mellon University
La Trobe University,Concordia University,Sichuan University,,,The University of Nottingham,New York University (NYU)
Griffith University,Laval University,Shandong University,,,Queen Mary University of London (QMUL),Duke University
Swinburne University of Technology,University of Guelph,Xiamen University,,,University of St Andrews,"University of California, San Diego (UCSD)"
University of Tasmania,University of Windsor,Southern University of Science and Technology (SUSTech),,,University of Bath,University of Texas at Austin
Flinders University,University of New Brunswick,Nankai University,,,Newcastle University,Brown University
Western Sydney University,University of Manitoba,University of Chinese Academy of Sciences (UCAS),,,University of Liverpool,University of Illinois at Urbana-Champaign
University of Southern Queensland,Memorial University of Newfoundland,South China University of Technology,,,University of Exeter,University of Washington
Murdoch University,Toronto Metropolitan University (formerly Ryerson University),Beihang University (former BUAA),,,Lancaster University,Pennsylvania State University
James Cook University,Carleton University,"Southeast University, China",,,University of York,Boston University
Edith Cowan University,Universit� du Qu�bec,East China Normal University,,,Cardiff University,Purdue University
University of Canberra,Universit� de Sherbrooke,Shenzhen University,,,University of Reading,University of Wisconsin-Madison
Central Queensland University Australia (CQUniversity),University of Regina,Shanghai University,,,Queen's University Belfast,"University of California, Davis"
Charles Darwin University,Brock University,Jilin University,,,Loughborough University,Rice University
Bond University,Toronto (Rotman),University of Science and Technology Beijing,,,University of Strathclyde,Georgia Institute of Technology
Southern Cross University,McGill (Desautels),Dalian University of Technology,,,University of Aberdeen,"University of North Carolina, Chapel Hill"
Victoria University,Western (Ivey),Central South University,,,University of Surrey,Texas A&M University
Australian Catholic University,Queen's (Smith),Northwestern Polytechnical University,,,University of Sussex,University of Southern California
