City,,liv_exp_low ( rent is included ),liv_exp_high ( rent is included ),,,Fx,liv_exp_low_hkd,liv_exp_high_hkd,,,,,
Cambridge,GBP,1200,2000,,,10.5,12600,21000,,,,,
London,GBP,1500,2500,,,10.5,15750,26250,,,,,
Stanford,USD,2000,3500,,,7.85,15700,27475,,,,,
Oxford,GBP,1100,1800,,,10.5,11550,18900,,,,,
Singapore,SGD,2000,4000,,,6.1,12200,24400,,,,,
Pasadena,USD,1800,3000,,,7.85,14130,23550,,,,,
Hong Kong SAR,HKD,15000,25000,,,1,15000,25000,,,,,
Chicago,USD,1500,2500,,,7.85,11775,19625,,,,,
Beijing,CNY,5000,10000,,,1.1,5500,11000,,,,,
Philadelphia,USD,1400,2300,,,7.85,10990,18055,,,,,
Ithaca,USD,1200,2000,,,7.85,9420,15700,,,,,
Berkeley,USD,2000,3500,,,7.85,15700,27475,,,,,
Parkville,AUD,2000,3500,,,5.1,10200,17850,,,,,
Sydney,AUD,2500,4000,,,5.1,12750,20400,,,,,
New Haven,USD,1400,2300,,,7.85,10990,18055,,,,,
Baltimore,USD,1300,2200,,,7.85,10205,17270,,,,,
Princeton,USD,1500,2500,,,7.85,11775,19625,,,,,
Montreal,CAD,1500,2500,,,5.7,8550,14250,,,,,
Toronto,CAD,1800,3000,,,5.7,10260,17100,,,,,
Shanghai,CNY,6000,12000,,,1.1,6600,13200,,,,,
Canberra,AUD,2000,3500,,,5.1,10200,17850,,,,,
Edinburgh,GBP,1100,1800,,,10.5,11550,18900,,,,,
Manchester,GBP,1000,1700,,,10.5,10500,17850,,,,,
Melbourne,AUD,2200,3500,,,5.1,11220,17850,,,,,
New York City,USD,2500,4000,,,7.85,19625,31400,,,,,
Vancouver,CAD,1800,3000,,,5.7,10260,17100,,,,,
Evanston,USD,1400,2300,,,7.85,10990,18055,,,,,
Brisbane City,AUD,2000,3500,,,5.1,10200,17850,,,,,
Hong Kong,HKD,15000,25000,,,1,15000,25000,,,,,
Ann Arbor,USD,1300,2200,,,7.85,10205,17270,,,,,
Los Angeles,USD,2000,3500,,,7.85,15700,27475,,,,,
Hangzhou,CNY,5000,10000,,,1.1,5500,11000,,,,,
Bristol,GBP,1000,1700,,,10.5,10500,17850,,,,,
Pittsburgh,USD,1300,2200,,,7.85,10205,17270,,,,,
Durham,USD,1200,2000,,,7.85,9420,15700,,,,,
Kowloon,HKD,14000,24000,,,1,14000,24000,,,,,
San Diego,USD,1800,3000,,,7.85,14130,23550,,,,,
Austin,USD,1500,2500,,,7.85,11775,19625,,,,,
Providence,USD,1300,2200,,,7.85,10205,17270,,,,,
Champaign,USD,1200,2000,,,7.85,9420,15700,,,,,
Coventry,GBP,900,1500,,,10.5,9450,15750,,,,,
Birmingham,GBP,1000,1700,,,10.5,10500,17850,,,,,
Perth,AUD,2000,3500,,,5.1,10200,17850,,,,,
Glasgow,GBP,900,1500,,,10.5,9450,15750,,,,,
Seattle,USD,2000,3500,,,7.85,15700,27475,,,,,
Adelaide,AUD,1800,3000,,,5.1,9180,15300,,,,,
University Park,USD,1200,2000,,,7.85,9420,15700,,,,,
Leeds,GBP,1000,1700,,,10.5,10500,17850,,,,,
Southampton,GBP,1000,1700,,,10.5,10500,17850,,,,,
Boston,USD,2000,3500,,,7.85,15700,27475,,,,,
West Lafayette,USD,1200,2000,,,7.85,9420,15700,,,,,
Sheffield,GBP,900,1500,,,10.5,9450,15750,,,,,
Edmonton,CAD,1500,2500,,,5.7,8550,14250,,,,,
Haymarket,AUD,2500,4000,,,5.1,12750,20400,,,,,
Nottingham,GBP,900,1500,,,10.5,9450,15750,,,,,
Nanjing,CNY,5000,10000,,,1.1,5500,11000,,,,,
Madison,USD,1300,2200,,,7.85,10205,17270,,,,,
