City,,minimum _salary,Fx,hourly_minimum_salary_hk(other countries),monthly_minimum_salary_hk(China ),hourly_minimum_salary_hk,,,,,
Cambridge,GBP,12.21,10.5,128.205,0,128.205,,,,,
London,GBP,12.21,10.5,128.205,0,128.205,,,,,
Stanford,USD,18.2,7.85,142.87,0,142.87,,,,,
Oxford,GBP,12.21,10.5,128.205,0,128.205,,,,,
Singapore,SGD,10,6.1,61,0,61,,,,,
Pasadena,USD,18.04,7.85,141.614,0,141.614,,,,,
Hong Kong SAR,HKD,42.1,1,42.1,0,42.1,,,,,
Chicago,USD,16.6,7.85,130.31,0,130.31,,,,,
Beijing,CNY,2420 per month,1.1,0,15.125,15.125,,,,,
Philadelphia,USD,15.5,7.85,121.675,0,121.675,,,,,
Ithaca,USD,15.5,7.85,121.675,0,121.675,,,,,
Berkeley,USD,19.18,7.85,150.563,0,150.563,,,,,
Parkville,AUD,24.95,5.1,127.245,0,127.245,,,,,
Sydney,AUD,24.95,5.1,127.245,0,127.245,,,,,
New Haven,USD,16.35,7.85,128.3475,0,128.3475,,,,,
Baltimore,USD,16.35,7.85,128.3475,0,128.3475,,,,,
Princeton,USD,16.35,7.85,128.3475,0,128.3475,,,,,
Montreal,CAD,16.1,5.7,91.77,0,91.77,,,,,
Toronto,CAD,17.2,5.7,98.04,0,98.04,,,,,
Shanghai,CNY,2740 per month,1.1,0,17.125,17.125,,,,,
Canberra,AUD,24.95,5.1,127.245,0,127.245,,,,,
Edinburgh,GBP,12.21,10.5,128.205,0,128.205,,,,,
Manchester,GBP,12.21,10.5,128.205,0,128.205,,,,,
Melbourne,AUD,24.95,5.1,127.245,0,127.245,,,,,
New York City,USD,16.5,7.85,129.525,0,129.525,,,,,
Vancouver,CAD,17.85,5.7,101.745,0,101.745,,,,,
Evanston,USD,15,7.85,117.75,0,117.75,,,,,
Brisbane City,AUD,24.95,5.1,127.245,0,127.245,,,,,
Hong Kong,HKD,42.1,1,42.1,0,42.1,,,,,
Ann Arbor,USD,12.48,7.85,97.968,0,97.968,,,,,
Los Angeles,USD,17.87,7.85,140.2795,0,140.2795,,,,,
Hangzhou,CNY,2280 per month,1.1,0,14.25,14.25,,,,,
Bristol,GBP,12.21,10.5,128.205,0,128.205,,,,,
Pittsburgh,USD,7.25,7.85,56.9125,0,56.9125,,,,,
Durham,USD,12.21,7.85,95.8485,0,95.8485,,,,,
Kowloon,HKD,42.1,1,42.1,0,42.1,,,,,
San Diego,USD,17.25,7.85,135.4125,0,135.4125,,,,,
Austin,USD,15,7.85,117.75,0,117.75,,,,,
Providence,USD,15,7.85,117.75,0,117.75,,,,,
Champaign,USD,15,7.85,117.75,0,117.75,,,,,
Coventry,GBP,12.21,10.5,128.205,0,128.205,,,,,
Birmingham,GBP,12.21,10.5,128.205,0,128.205,,,,,
Perth,AUD,24.95,5.1,127.245,0,127.245,,,,,
Glasgow,GBP,12.21,10.5,128.205,0,128.205,,,,,
Seattle,USD,20.76,7.85,162.966,0,162.966,,,,,
Adelaide,AUD,24.95,5.1,127.245,0,127.245,,,,,
University Park,USD,7.25,7.85,56.9125,0,56.9125,,,,,
Leeds,GBP,12.21,10.5,128.205,0,128.205,,,,,
Southampton,GBP,12.21,10.5,128.205,0,128.205,,,,,
